id,name,type,source,count
E00399,用知识图谱和领域知识图谱,概念,regex,1
E00400,章也是从实战的角度对知识,概念,regex,1
E00401,知识图谱和领域知,概念,regex,1
E00402,知识图谱的总结和,概念,regex,1
E00403,知识图谱领域仍然,概念,regex,1
E00404,历史,概念,pos_tag,1
E00405,基本,概念,pos_tag,1
E00406,大家,概念,pos_tag,1
E00407,Schema,技术,regex,1
E00408,图谱的典型应用和技术,技术,regex,1
E00409,本章将首先介绍知识图谱,概念,regex,1
E00410,随后引出知识图谱,概念,regex,1
E00411,节中为大家介绍知识图谱,概念,regex,1
E00412,及为什么需要用知识图谱,概念,regex,1
E00413,最后介绍知识图谱,概念,regex,1
E00414,知识图谱的历史,概念,regex,1
E00415,知识图谱的基本概,概念,regex,1
E00416,半决赛,概念,pos_tag,1
E00417,篮球,概念,pos_tag,1
E00418,阿楠,人物,pos_tag,1
E00419,火箭队,概念,pos_tag,1
E00420,中国,地点,pos_tag,1
E00421,姚明,人物,pos_tag,1
E00422,关键字,概念,pos_tag,1
E00423,网页,概念,pos_tag,1
E00424,尺寸,概念,pos_tag,1
E00425,标准,概念,pos_tag,1
E00426,答案,概念,pos_tag,1
E00427,功能,概念,pos_tag,1
E00428,事情,概念,pos_tag,1
E00429,页面,概念,pos_tag,1
E00430,代表性,概念,pos_tag,1
E00431,图片,概念,pos_tag,1
E00432,感兴趣,概念,pos_tag,1
E00433,结果,概念,pos_tag,1
E00434,优先,技术,pos_tag,1
E00435,百科,概念,pos_tag,1
E00436,维基百科,概念,pos_tag,1
E00437,百度,概念,pos_tag,1
E00438,视频,概念,pos_tag,1
E00439,新闻,概念,pos_tag,1
E00440,目标,概念,pos_tag,1
E00441,准确性,概念,pos_tag,1
E00442,事实,概念,pos_tag,1
E00443,总量,概念,pos_tag,1
E00444,时期,概念,pos_tag,1
E00445,NBA,技术,regex,1
E00446,Google,技术,regex,1
E00447,Infobox,技术,regex,1
E00448,Entity,技术,regex,1
E00449,Fact,技术,regex,1
E00450,以用一种更简单的方法,技术,regex,1
E00451,发布的知识图谱,概念,regex,1
E00452,语义功能,概念,regex,1
E00453,信息的方,概念,regex,1
E00454,信息链接,概念,regex,1
E00455,信息会被添加到搜,概念,regex,1
E00456,知识图谱在发布后,概念,regex,1
E00457,生卒,概念,pos_tag,1
E00458,作品,概念,pos_tag,1
E00459,蒙娜丽莎,人物,pos_tag,1
E00460,出生地,概念,pos_tag,1
E00461,意大利,地点,pos_tag,1
E00462,联系,概念,pos_tag,1
E00463,关联,地点,pos_tag,1
E00464,例子,概念,pos_tag,1
E00465,直观,概念,pos_tag,1
E00466,结构,概念,pos_tag,1
E00467,知识库,概念,pos_tag,1
E00468,结点,概念,pos_tag,1
E00469,有向,概念,pos_tag,1
E00470,体验,概念,pos_tag,1
E00471,巨人,概念,pos_tag,1
E00472,肩膀,概念,pos_tag,1
E00473,众包,概念,pos_tag,1
E00474,免费,技术,pos_tag,1
E00475,麾下,概念,pos_tag,1
E00476,基石,概念,pos_tag,1
E00477,官方网站,概念,pos_tag,1
E00478,数据文件,概念,pos_tag,1
E00479,Semantic Network,技术,regex,1
E00480,Concept,技术,regex,1
E00481,Freebase,技术,regex,1
E00482,NNDB,技术,regex,1
E00483,MusicBrainz,技术,regex,1
E00484,Google API,技术,regex,1
E00485,Semantic,工具,regex,1
E00486,Network,工具,regex,1
E00487,API,工具,regex,1
E00488,图结构的知识库,工具,regex,1
E00489,义关系的知识库,工具,regex,1
E00490,型的众包知识库,工具,regex,1
E00491,图结构的知识,概念,regex,1
E00492,也可以看到知识,概念,regex,1
E00493,可以看作一类语义网络,概念,regex,1
E00494,语义网络是一种表示网络,概念,regex,1
E00495,之间语义关系的知识,概念,regex,1
E00496,点和表示,概念,regex,1
E00497,通过一个强大的知识图谱,概念,regex,1
E00498,就是当时世界上最大的知识,概念,regex,1
E00499,是一个大型的众包知识,概念,regex,1
E00500,成为其知识图谱,概念,regex,1
E00501,信息的查询,概念,regex,1
E00502,知识图谱中,概念,regex,1
E00503,知识图谱是一种具,概念,regex,1
E00504,知识图谱可以看作,概念,regex,1
E00505,语义网络,概念,regex,1
E00506,语义网络是一种表,概念,regex,1
E00507,语义关系的知识库,概念,regex,1
E00508,语义关系的边组成,概念,regex,1
E00509,知识图谱之一,概念,regex,1
E00510,数据源自维基百科,概念,regex,1
E00511,知识图谱的重要基,概念,regex,1
E00512,官网,概念,pos_tag,1
E00513,大数,概念,pos_tag,1
E00514,代表,概念,pos_tag,1
E00515,成果,概念,pos_tag,1
E00516,教育,技术,pos_tag,1
E00517,技能,概念,pos_tag,1
E00518,途径,概念,pos_tag,1
E00519,智慧,人物,pos_tag,1
E00520,Rowley,技术,regex,1
E00521,DIKW,技术,regex,1
E00522,总结与凝炼的系统,技术,regex,1
E00523,相信读者对基于知识图谱,概念,regex,1
E00524,本节将详细阐述知识图谱,概念,regex,1
E00525,包括知识图谱,概念,regex,1
E00526,在给出知识图谱,概念,regex,1
E00527,先分开讨论一下什么是知识,概念,regex,1
E00528,什么是图谱,概念,regex,1
E00529,首先看一下什么是知识,概念,regex,1
E00530,无穷无尽的知识,概念,regex,1
